"","Attentional_load","Subjectnumber","Day","PercentCorrect"
"349","5",617,1,56.8421052631579
"350","5",617,2,51
"351","5",617,3,58.6666666666667
"352","5",618,1,66.6666666666667
"353","5",618,2,56.25
"354","5",618,3,47.5
"355","5",619,1,58.4615384615385
"356","5",619,2,68.8888888888889
"357","5",619,3,77.1428571428571
"358","5",620,1,50.5263157894737
"359","5",620,2,55.7894736842105
"360","5",620,3,55.5555555555556
