subject	segment	cloze	lab	item	n400
bris05	4	0	bris	117	2.42
bris05	5	80	bris	107	17.02
bris05	6	3	bris	102	-2.09
bris05	7	100	bris	119	1.81
bris05	8	0	bris	118	6.76
bris05	9	93	bris	116	-4.83
bris05	10	0	bris	106	7.25
bris05	11	0	bris	114	16.03
bris05	12	90	bris	120	14.25
bris05	13	3	bris	109	14.96
bris05	14	90	bris	115	20.10
bris05	15	100	bris	103	6.27
bris05	16	87	bris	111	13.43
bris05	17	3	bris	110	1.24
bris05	18	97	bris	108	3.74
bris05	19	93	bris	104	4.64
bris05	20	0	bris	138	-0.31
bris05	21	0	bris	126	10.90
bris05	22	17	bris	122	14.30
bris05	23	97	bris	127	7.10
bris05	24	27	bris	128	14.87
bris05	25	93	bris	124	9.27
bris05	26	97	bris	135	8.26
bris05	27	0	bris	125	-4.14
bris05	28	77	bris	131	1.96
bris05	29	80	bris	132	4.45
bris05	30	3	bris	121	3.60
bris05	31	90	bris	129	3.58
bris05	32	97	bris	139	14.04
bris05	33	0	bris	133	-2.44
bris05	34	93	bris	123	-0.05
bris05	35	0	bris	130	9.79
bris05	36	30	bris	134	-14.44
bris05	37	93	bris	140	0.76
bris05	38	77	bris	136	9.07
bris05	39	13	bris	142	4.76
bris05	40	7	bris	141	13.46
bris05	41	20	bris	146	-1.11
bris05	42	7	bris	153	7.18
bris05	43	90	bris	144	8.63
bris05	44	50	bris	149	-8.45
bris05	45	87	bris	152	4.76
bris05	46	93	bris	155	14.57
bris05	47	100	bris	147	5.29
bris05	48	87	bris	148	1.79
bris05	49	0	bris	158	2.01
bris05	50	0	bris	157	8.81
bris05	51	90	bris	160	11.64
bris05	52	93	bris	156	8.71
bris05	53	3	bris	150	-11.72
bris05	54	17	bris	145	6.78
bris05	55	73	bris	159	8.59
bris05	56	90	bris	151	2.14
bris05	57	93	bris	143	-8.76
bris05	58	30	bris	154	12.77
bris05	59	83	bris	163	-4.21
bris05	60	0	bris	174	-3.23
bris05	61	7	bris	165	4.83
bris05	62	0	bris	169	-5.79
bris05	63	90	bris	171	6.87
bris05	64	27	bris	168	-2.74
bris05	65	87	bris	167	-3.74
bris05	66	90	bris	172	9.26
bris05	67	0	bris	178	7.41
bris05	68	3	bris	170	10.91
bris05	69	50	bris	164	13.48
bris05	70	60	bris	175	1.77
bris05	71	97	bris	179	11.98
bris05	72	0	bris	162	5.90
bris05	73	97	bris	180	-2.31
bris05	74	0	bris	161	3.35
bris05	75	7	bris	173	4.19
bris05	76	0	bris	177	3.52
bris05	77	90	bris	176	-0.42
bris05	78	7	bris	166	9.75
bris06	1	3	bris	109	-5.76
bris06	2	87	bris	111	-15.95
bris06	3	93	bris	104	-11.70
bris06	4	0	bris	113	-6.81
bris06	5	0	bris	106	-23.96
bris06	6	80	bris	107	12.35
bris06	7	0	bris	118	0.40
bris06	8	0	bris	105	2.73
bris06	9	0	bris	101	0.21
bris06	10	0	bris	114	-8.02
bris06	11	90	bris	120	4.15
bris06	12	97	bris	108	-3.28
bris06	13	0	bris	117	2.13
bris06	14	3	bris	102	0.74
bris06	15	100	bris	103	-13.48
bris06	16	90	bris	115	9.45
bris06	17	100	bris	119	2.98
bris06	18	93	bris	116	21.24
bris06	19	100	bris	112	3.99
bris06	20	93	bris	123	7.66
bris06	21	93	bris	124	11.78
bris06	22	0	bris	137	-7.41
bris06	23	0	bris	133	12.47
bris06	24	0	bris	126	1.09
bris06	25	30	bris	134	1.52
bris06	26	97	bris	139	-9.90
bris06	27	27	bris	128	6.05
bris06	28	80	bris	132	5.58
bris06	29	0	bris	138	-8.31
bris06	30	0	bris	130	-7.22
bris06	31	17	bris	122	-5.09
bris06	32	93	bris	140	-10.45
bris06	33	77	bris	131	-14.31
bris06	34	97	bris	135	10.52
bris06	35	3	bris	121	5.65
bris06	36	77	bris	136	4.93
bris06	37	0	bris	125	0.25
bris06	38	97	bris	127	0.43
bris06	39	93	bris	155	-16.09
bris06	40	30	bris	154	-2.89
bris06	41	7	bris	141	-0.73
bris06	42	13	bris	142	2.85
bris06	43	90	bris	151	3.08
bris06	44	0	bris	158	19.09
bris06	45	90	bris	160	15.90
bris06	46	90	bris	144	19.77
bris06	47	7	bris	153	1.16
bris06	48	73	bris	159	-9.96
bris06	49	100	bris	147	1.21
bris06	50	87	bris	152	3.31
bris06	51	0	bris	157	-12.80
bris06	52	93	bris	156	11.15
bris06	53	93	bris	143	-8.95
bris06	54	17	bris	145	11.50
bris06	55	0	bris	162	-2.05
bris06	56	83	bris	163	-4.66
bris06	57	90	bris	171	-15.20
bris06	58	90	bris	172	-8.99
bris06	59	0	bris	169	-10.73
