subject,item,condition,word_position,region_position,rawRT,residRT,qcorrect,experiment
2,8,objgap,1,1,328,-107.97,1,tedrg1
2,8,objgap,2,1,369,-327.03,1,tedrg1
2,8,objgap,3,2,569,133.03,1,tedrg2
2,8,objgap,4,3,410,-25.97,1,tedrg2
2,8,objgap,5,3,323,-210.49,1,tedrg2
2,8,objgap,6,3,336,-360.03,1,tedrg3
2,8,objgap,7,4,354,-49.46,1,tedrg3
2,8,objgap,8,4,2473,2037.03,1,tedrg4
2,8,objgap,9,4,526,-40,1,tedrg4
2,8,objgap,11,5,2391,1955.03,1,tedrg5
2,8,objgap,12,5,489,20.52,1,tedrg6
2,8,objgap,13,5,297,-203.98,1,tedrg6
2,8,objgap,14,6,259,-404.52,1,tedrg7
2,8,objgap,15,6,293,-142.97,1,tedrg7
2,8,objgap,16,6,234,-201.97,1,tedrg7
2,8,objgap,17,6,304,-164.48,1,tedrg7
2,8,objgap,18,6,346,-89.97,1,tedrg7
2,8,objgap,19,6,320,-213.49,1,tedrg7
2,9,subjgap,1,1,317,-118.97,1,tedrg1
2,9,subjgap,2,1,496,-4.98,1,tedrg1
2,9,subjgap,3,2,352,-83.97,1,tedrg2
2,9,subjgap,4,3,530,-133.52,1,tedrg2
2,9,subjgap,5,3,289,-146.97,1,tedrg3
2,9,subjgap,6,3,4572,4038.51,1,tedrg3
2,9,subjgap,7,4,320,-83.46,1,tedrg4
2,9,subjgap,8,4,296,-139.97,1,tedrg4
2,9,subjgap,9,4,6597,5998.49,1,tedrg4
2,9,subjgap,11,5,417,-83.98,1,tedrg5
2,9,subjgap,12,5,386,-82.48,1,tedrg6
2,9,subjgap,13,5,398,-265.52,1,tedrg6
2,9,subjgap,14,6,1969,1565.54,1,tedrg7
2,9,subjgap,15,6,297,-203.98,1,tedrg7
2,9,subjgap,16,6,343,-157.98,1,tedrg7
2,10,objgap,1,1,269,-166.97,1,tedrg1
2,10,objgap,2,1,328,-303.01,1,tedrg1
2,10,objgap,3,2,342,-93.97,1,tedrg2
2,10,objgap,4,3,346,-89.97,1,tedrg2
2,10,objgap,5,3,394,-172,1,tedrg2
2,10,objgap,6,3,465,-68.49,1,tedrg3
2,10,objgap,7,4,458,-10.48,1,tedrg3
2,10,objgap,8,4,413,-22.97,1,tedrg4
2,10,objgap,9,4,332,-168.98,1,tedrg4
2,10,objgap,11,5,360,-75.97,1,tedrg5
2,10,objgap,12,5,361,-400.05,1,tedrg6
2,10,objgap,13,5,354,-212,1,tedrg6
2,10,objgap,14,6,286,-247.49,1,tedrg7
2,10,objgap,15,6,290,-308.51,1,tedrg7
2,11,subjgap,1,1,290,-145.97,1,tedrg1
2,11,subjgap,2,1,282,-251.49,1,tedrg1
2,11,subjgap,3,2,287,-148.97,1,tedrg2
2,11,subjgap,4,3,275,-323.51,1,tedrg2
2,11,subjgap,5,3,293,-142.97,1,tedrg3
2,11,subjgap,6,3,277,-354.01,1,tedrg3
2,11,subjgap,7,4,282,-121.46,1,tedrg4
2,11,subjgap,8,4,287,-148.97,1,tedrg4
2,11,subjgap,9,4,297,-269,1,tedrg4
2,11,subjgap,11,5,312,-156.48,1,tedrg5
2,11,subjgap,12,5,282,-121.46,1,tedrg6
2,11,subjgap,13,5,328,-270.51,1,tedrg6
2,11,subjgap,14,6,330,-170.98,1,tedrg7
2,12,objgap,1,1,252,-183.97,1,tedrg1
2,12,objgap,2,1,259,-437.03,1,tedrg1
